testing_type,testing_cat,origin_prob_inf,origin_prob_inf_cat,origin_inf,destination_prob_inf,destination_prob_inf_cat,destination_inf,ratio,ratio_trunc
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",5e-4,50,902.7892533333332,5e-4,50,2989.2323333333334,0.30201374555808475,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.001,100,1747.0591399999998,5e-4,50,2989.2323333333334,0.5844507703594356,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.0015,150,2520.3177066666667,5e-4,50,2989.2323333333334,0.8431320906582817,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.0025,250,3945.7604399999996,5e-4,50,2989.2323333333334,1.3199912218265177,1.3199912218265177
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.005,500,6732.47876,5e-4,50,2989.2323333333334,2.2522433886871958,2.2522433886871958
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.001,100,1747.0591399999998,0.001,100,5796.606,0.3013934602420796,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.0015,150,2520.3177066666667,0.001,100,5796.606,0.4347919638951943,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.0025,250,3945.7604399999996,0.001,100,5796.606,0.6807018520837883,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.005,500,6732.47876,0.001,100,5796.606,1.1614518495823245,1.1614518495823245
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.0015,150,2520.3177066666667,0.0015,150,8357.255,0.30157243097962994,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.0025,250,3945.7604399999996,0.0015,150,8357.255,0.4721359393724375,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.005,500,6732.47876,0.0015,150,8357.255,0.8055849390738945,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.0025,250,3945.7604399999996,0.0025,250,13070.858166666667,0.3018746274871597,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.005,500,6732.47876,0.0025,250,13070.858166666667,0.5150754965094169,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.005,500,6732.47876,0.005,500,22303.131333333335,0.3018624900413834,1
